27331,367,456,416
27347,302,593,416
27363,352,634,426
27378,494,292,426
27394,519,437,468
27410,477,577,456
27426,495,311,457
27442,506,414,533
27457,509,392,493
27473,510,547,457
27489,465,344,470
27505,417,230,480
27521,380,529,471
27537,412,281,457
27552,325,372,387
27568,288,640,395
27584,263,524,402
27600,451,483,439
27616,423,499,441
27631,646,622,446
27647,336,303,442
27663,386,567,432
27679,420,387,467
27695,432,324,469
27711,471,552,438
27726,496,249,444
27742,507,601,447
27758,514,293,404
27774,513,618,441
27790,435,515,468
27805,418,652,463
27821,391,351,463
27837,328,341,471
27853,484,645,482
27869,503,617,507
27885,354,570,496
27900,446,547,476
27916,442,357,457
27932,358,543,466
27948,282,566,481
27964,314,541,495
27979,293,628,501
27995,307,277,496
28011,481,230,504
28027,414,614,509
28043,445,581,508
28058,492,462,518
28074,507,549,470
28090,414,357,475
28106,401,354,491
28122,434,280,496
28138,520,587,500
28153,343,203,482
28169,285,568,464
28185,311,590,472
28201,713,638,476
28217,654,489,471
28233,547,525,477
28248,312,272,463
28264,308,600,480
28280,502,335,482
28296,655,535,488
28312,422,386,486
28327,492,309,521
28343,410,647,505
28359,494,635,515
28375,513,282,516
28391,512,296,513
28406,461,453,509
28422,486,494,501
28438,404,593,498
28454,485,408,520
28470,456,633,513
28486,367,513,491
28501,374,580,478
28517,306,589,484
28533,292,287,481
28549,479,580,493
28565,244,574,486
28580,298,553,498
28596,278,529,504
28612,253,270,510
28628,591,553,508
28644,249,572,506
28660,374,574,502
28675,474,414,501
28691,498,347,514
28707,345,346,517
28723,477,422,512
28739,485,382,512
28754,434,610,513
28770,432,519,513
28786,487,348,507
28802,394,604,501
28818,429,613,506
28834,354,558,511
28849,284,567,507
28865,323,463,503
28881,302,555,477
28897,341,247,472
28913,370,368,477
28928,411,647,483
28944,620,457,483
28960,452,649,500
28976,440,582,505
28992,358,588,513
29008,399,576,518
29023,496,236,506
29039,476,609,490
29055,451,194,508
29071,582,375,514
29087,397,615,513
29102,496,237,512
29118,561,656,512
29134,414,650,512
29150,316,647,498
29166,347,621,505
29182,322,251,518
29197,695,347,486
29213,654,608,450
29229,526,311,451
29245,246,506,452
29261,367,574,465
29276,285,575,482
29292,485,413,492
29308,501,562,501
29324,511,591,507
29340,511,484,523
29356,513,312,514
29371,508,351,513
29387,468,632,512
29403,389,592,513
29419,391,350,512
29435,340,483,497
29450,378,382,491
29466,288,315,503
29482,334,311,509
29498,283,644,510
29514,330,639,517
29529,374,424,507
29545,435,630,504
29561,487,217,505
29577,403,186,508
29593,296,664,513
29609,353,216,514
29624,283,408,508
29640,298,427,500
29656,453,358,519
29672,524,638,513
29688,508,320,512
29702,398,96,513
