17956,12,200
28134,325,743,92
28145,340,731,191
28156,634,51,363
28167,317,454,206
28182,294,109,155
28198,281,462,158
28214,297,505,171
28230,549,326,235
28247,582,1017,122
28262,299,580,141
28277,268,520,161
28293,261,513,189
28308,269,54,205
28325,281,416,200
28341,352,500,126
28356,613,763,114
28372,284,544,149
28388,235,405,107
28404,423,326,137
28420,261,488,128
28435,423,509,343
28451,617,512,155
28467,251,513,128
28483,509,512,173
28499,262,511,165
28515,323,511,151
28531,288,1018,155
28546,457,586,110
28562,381,261,168
28578,247,553,145
28594,443,513,183
28609,260,280,93
28625,271,521,166
28641,433,658,126
28657,295,174,145
28673,493,351,242
28689,557,647,235
28704,288,549,108
28720,297,270,152
28735,286,614,97
28752,642,526,378
28768,306,514,142
28783,524,573,274
28799,290,528,112
28815,313,513,150
28831,553,519,168
28847,263,512,442
28860,520,6,246
28878,652,448,564
28895,253,1001,134
28910,317,573,127
28926,312,366,143
28943,410,1018,610
28957,510,380,136
28973,290,636,115
28989,299,528,258
29005,323,426,604
29021,236,365,131
29038,394,1018,671
29052,273,614,106
29068,304,524,168
29082,543,6,492
29100,288,884,210
29116,301,558,171
29131,242,517,160
29147,454,513,637
29163,430,513,150
29179,375,512,608
29195,235,560,156
29210,253,531,188
29226,242,514,166
29242,606,516,553
29258,245,513,157
29274,246,512,189
29290,304,512,148
29304,552,266,99
29321,337,715,165
29337,339,563,118
29353,339,242,138
29369,301,537,102
29383,319,365,88
29400,337,494,161
29416,545,509,137
29432,344,511,155
29448,319,512,120
29462,353,512,82
29479,330,949,121
29495,322,183,188
29511,322,557,195
29527,314,518,163
29542,314,513,155
29558,433,511,165
29574,676,232,187
29590,298,476,177
29606,412,507,201
29622,288,845,146
29637,333,556,180
29653,287,517,177
29669,418,899,674
29685,268,442,167
29700,279,504,95
29717,346,1018,182
29733,562,658,127
29748,554,426,521
29764,610,1018,76
29780,291,672,137
29796,387,178,210
29811,370,655,118
29827,300,568,148
29843,238,388,161
29859,242,285,172
29875,443,552,243
29890,430,567,135
29906,558,340,150
29922,237,522,165
29938,586,597,481
29954,238,523,134
29970,354,514,174
29985,290,513,177
30001,352,512,236
30017,562,511,342
30033,344,560,656
30049,323,531,408
30063,354,236,98
30080,328,608,511
30095,599,560,86
30112,368,811,182
30128,465,319,135
30143,646,488,167
30158,640,943,51
30175,683,589,441
30191,400,527,164
30207,314,523,145
30223,356,526,167
30238,548,516,248
30252,300,6,150
30270,345,416,252
30286,278,275,208
30302,677,482,264
30317,420,675,128
30333,350,532,168
30349,295,515,170
30365,377,379,165
30381,253,356,145
30396,411,492,134
30412,270,978,116
30428,269,365,152
30444,405,542,126
30460,288,697,108
30476,270,531,143
30491,315,643,133
30506,221,552,98
30523,252,393,181
30539,236,534,171
30555,260,459,188
30581,400,323,189
30591,321,477,154
30602,474,536,133
30618,293,516,163
30639,340,512,191
30649,303,518,170
30665,299,513,450
30681,451,512,618
30696,413,508,97
30713,378,499,349
30729,295,299,104
30779,325,665,69
30790,344,164,247
30800,303,467,126
30810,276,507,106
30820,597,512,196
30830,353,882,527
30841,429,694,641
30855,679,535,512
30871,540,515,612
30887,333,512,682
30902,663,515,220
30916,402,6,151
30934,388,408,572
30950,344,498,192
30966,654,695,311
30981,351,535,140
30997,340,515,197
31013,419,512,604
31029,361,144,314
31045,509,465,141
31062,361,1019,206
31076,376,585,621
31092,550,141,115
31108,251,390,124
31124,519,756,264
31140,341,539,545
31156,584,911,286
31171,215,584,153
31187,594,536,647
31203,243,528,561
31219,308,533,183
31235,381,478,454
31250,625,530,170
31266,243,514,200
31282,305,499,153
31298,241,562,174
31314,344,531,167
31330,246,514,125
31344,284,514,99
31361,658,545,429
31377,603,598,426
31392,511,582,66
31408,347,584,124
31424,489,456,126
31438,572,6,110
31456,293,407,203
31471,514,858,64
31487,309,556,190
31503,279,456,199
31519,268,513,136
31535,344,512,172
31551,277,601,188
31566,315,45,179
31582,575,453,230
31598,435,504,139
31614,351,674,163
31630,267,532,691
31646,473,514,157
31659,260,6,138
31677,320,209,183
31693,363,473,290
31710,544,1019,231
31725,415,606,338
31740,557,545,385
31754,291,5,125
31772,296,347,212
31788,473,667,179
31804,576,435,441
31819,370,538,213
31835,262,525,162
31851,254,531,264
31867,425,360,202
31883,248,439,184
31899,382,252,194
31914,233,518,151
31930,449,544,594
31946,300,518,149
31960,270,5,189
31978,308,627,285
31993,292,529,181
32009,495,512,558
32025,439,565,125
32040,346,543,91
32057,355,545,126
32072,305,216,380
32088,318,474,292
32104,347,579,199
32120,346,465,174
32136,703,958,309
32150,306,95,391
32168,355,1004,216
32183,389,574,212
32199,308,520,154
32215,328,513,182
32231,423,261,204
32246,301,297,202
32262,295,485,254
32278,322,866,240
32293,396,556,95
32310,274,517,205
32326,358,513,211
32341,239,266,197
32357,271,481,203
32373,240,508,167
32390,325,1018,162
32405,383,529,138
32420,234,582,171
32436,326,323,179
32452,241,716,206
32468,383,855,206
32484,380,526,198
32500,356,545,200
32515,308,420,257
32531,428,344,258
32547,302,540,231
32563,272,544,226
32579,370,771,191
32594,257,545,199
32610,273,408,208
32626,345,533,256
32642,267,497,252
32658,215,506,194
32674,224,514,628
32689,418,538,623
32703,282,6,159
32721,297,381,244
32737,665,496,310
32753,545,991,264
32768,268,573,154
32784,288,520,209
32800,602,520,416
32816,253,570,140
32832,457,541,228
32847,253,263,237
32863,290,773,228
32879,580,554,559
32895,301,518,183
32911,298,285,249
32927,504,920,245
32942,585,407,374
32958,497,700,247
32974,485,530,239
32990,522,307,222
33006,309,746,272
33021,378,542,257
33037,469,516,225
33055,497,509,205
33069,562,323,505
33085,254,648,222
33101,274,543,219
33131,266,6,210
33142,313,581,305
33152,546,761,383
33164,271,544,209
33180,449,516,556
33203,297,532,209
33214,225,520,230
33227,334,432,245
33243,216,525,231
33259,370,588,242
33273,232,10,357
33290,308,529,290
33306,625,547,263
33322,577,660,244
33338,224,541,237
33354,605,522,178
33369,274,513,159
33385,282,520,189
33401,307,417,175
33417,467,529,146
33433,315,533,174
33446,332,6,194
33464,365,402,251
33480,468,493,179
33496,313,508,141
33513,410,1000,249
33528,333,574,205
33543,718,520,163
33559,272,518,214
33575,265,512,216
33591,462,512,216
33607,385,503,200
33622,288,221,223
33639,297,1019,221
33654,488,620,253
33670,537,529,210
33686,521,529,218
33702,340,541,206
33717,236,516,240
33733,475,299,198
33750,507,1018,329
33765,263,401,158
33781,259,866,202
33797,589,322,413
33812,596,908,210
33828,635,280,221
33845,233,1018,201
33860,252,565,201
33876,388,788,278
33891,474,440,226
33907,273,549,234
33923,432,539,201
33939,375,513,451
33955,355,517,179
33971,617,514,182
33986,504,513,214
34002,441,527,228
34018,314,510,451
34034,318,523,364
34050,650,514,434
34065,246,291,657
34081,444,584,280
34097,287,595,137
34113,424,552,115
34129,291,421,142
34145,559,539,188
34160,550,473,359
34174,647,5,432
34192,314,435,224
34209,381,1019,227
34224,280,463,146
34239,560,665,232
34255,541,532,164
34271,347,515,206
34287,267,515,231
34301,317,6,191
34318,363,445,312
34334,450,503,194
34350,629,680,173
34366,365,533,187
34382,276,515,206
34397,357,427,197
34413,344,284,234
34429,396,483,163
34445,255,815,179
34461,248,550,162
34477,466,518,196
34490,297,6,163
34508,284,653,273
34522,251,6,202
34540,537,117,261
34557,452,1019,214
34571,458,609,240
34587,223,678,307
34603,220,575,270
34619,308,536,228
34635,555,507,241
34650,397,553,234
34666,203,522,216
34682,269,524,203
34698,280,509,157
34714,335,515,249
34730,563,513,172
34745,415,513,372
34761,229,435,263
34777,582,550,389
34793,307,393,217
34809,277,714,100
34824,335,414,167
34840,305,330,185
34856,307,489,172
34872,433,690,217
34888,606,481,154
34904,383,525,194
34919,400,513,187
34935,491,624,489
34951,440,559,190
34967,456,560,212
34983,656,285,210
34998,276,483,234
35014,327,223,627
35031,585,1019,144
35046,254,640,162
35062,365,528,182
35078,560,514,593
35093,494,512,180
35109,384,290,188
35125,239,484,175
35141,278,853,164
35157,532,474,291
35170,251,6,198
35189,606,1019,640
35204,365,592,194
35220,355,522,174
35236,604,542,573
35252,204,392,239
35267,383,538,216
35283,475,515,199
35299,446,567,377
35315,420,557,179
35331,369,311,216
35346,431,366,213
35363,602,1018,245
35378,459,593,223
35394,303,522,196
35410,555,517,179
35426,384,511,147
35441,326,578,115
35457,309,608,182
35473,769,603,212
35489,377,523,182
35505,351,514,199
35520,354,509,179
35536,336,318,199
35552,338,488,238
35568,650,718,192
35584,462,538,217
35600,364,514,228
35615,246,496,206
35631,406,520,180
35647,264,309,233
35663,269,595,203
35677,242,5,202
35694,571,383,288
35710,550,767,197
