5957,12,136
18983,509,497,654
18999,455,510,139
19015,449,512,761
19031,505,850,240
19047,509,320,234
19063,515,391,237
19078,511,654,189
19094,509,443,168
19110,399,648,429
19126,499,686,239
19142,471,535,263
19157,501,515,582
19173,508,729,231
19189,430,332,292
19205,439,489,353
19221,375,510,233
19237,403,512,211
19252,480,705,162
19268,504,537,439
19284,446,516,203
19300,432,513,312
19316,503,412,614
19331,474,558,144
19347,511,753,189
19363,380,542,522
19379,494,516,244
19395,509,512,699
19411,509,798,655
19426,469,558,650
19442,655,206,180
19458,482,473,227
19475,501,1018,150
19490,551,594,183
19506,410,485,162
19521,479,513,368
19537,558,440,668
19553,464,652,334
19569,501,574,200
19585,509,509,660
19600,516,570,350
19616,513,462,272
19632,510,345,264
19648,462,493,189
19664,510,511,169
19680,704,841,300
19695,476,553,185
19711,508,517,178
19727,438,536,122
19743,479,108,265
19759,428,383,199
19774,501,495,197
19790,479,680,376
19806,505,711,127
19822,465,140,629
19838,506,701,201
19854,509,536,235
19867,510,6,218
19885,510,423,203
19901,511,514,131
19917,512,406,144
19931,488,497,98
19948,454,870,190
19964,467,769,250
19980,411,258,185
19996,498,481,221
20012,510,509,133
20027,512,512,180
20043,488,512,207
20059,469,512,257
20075,452,539,588
20091,385,549,386
20106,495,755,174
20122,510,413,438
20138,511,291,271
20154,511,484,180
20170,434,508,186
20186,457,512,235
20201,504,513,196
20217,469,582,179
20233,503,612,136
20249,510,509,176
20265,497,540,150
20280,509,382,184
20296,504,460,204
20312,509,505,206
20328,420,511,562
20344,499,513,189
20360,510,513,164
20375,410,511,579
20391,500,510,746
20407,511,511,147
20423,446,513,173
20439,498,512,139
20456,514,1018,225
20470,516,631,146
20486,509,539,168
20502,491,662,189
20518,694,531,394
20534,577,610,215
20549,390,524,429
20565,378,299,239
20581,417,486,188
20597,496,510,778
20623,514,504,447
20633,502,511,224
20644,419,605,749
20659,493,57,141
20679,435,454,216
20693,506,1019,354
20708,505,595,226
20723,492,524,196
20739,436,514,173
20755,399,512,254
20791,493,513,283
20801,520,513,502
20811,507,633,228
20821,512,607,233
20834,509,437,220
20850,512,591,192
20866,510,544,235
20882,521,546,228
20897,520,423,243
20913,508,595,204
20929,432,765,215
20945,501,385,217
20961,503,321,494
20977,501,462,184
20992,511,507,222
21008,505,889,250
21024,508,369,215
21040,443,496,129
21056,479,511,755
21071,508,737,122
21087,512,340,470
21103,798,397,382
21119,482,499,454
21135,508,593,250
21151,507,423,604
21166,445,485,227
21182,500,510,414
21198,506,511,247
21214,508,513,149
21230,509,512,270
21245,511,509,426
21261,511,509,115
21277,541,510,369
21293,485,512,244
21309,725,513,419
21325,444,513,243
21340,503,512,265
21357,513,1018,636
21372,512,610,215
21388,500,524,504
21404,508,513,590
21420,422,685,226
21435,493,165,270
21451,508,588,161
21467,511,522,260
21483,509,513,235
21499,470,520,295
21514,505,513,261
21530,495,512,417
21546,509,512,415
21562,510,511,414
21578,510,511,220
21594,510,513,292
21607,472,6,548
21625,458,424,272
21641,438,501,189
21657,478,510,191
21673,456,512,183
21688,505,513,182
21704,510,512,807
21720,515,509,201
